id,texto,contexto,advocacy,atack,image,issue,call to action,ceremonial,comentarios
1002854624682511,"🇺🇾FERRERO Propuesta tras propuesta seguimos avanzando y construyendo futuro. #Lista33 #ConstruyendoFuturo #ÁlvaroDelgadoPresidente que tenemos que trabajar fuertemente en materia de vivienda. Río San José. Esto exige un abordaje del Estado Nacional. Nosotros largamos hace tres semanas y tenemos, te dije dos, vamos a la tercera, las micro y pequeñas empresas, habilitarles una tarifa diferencial. De cambio, otra propuesta. Nos interesa una modificación tributaria en la matriz de aportes del sector europeo. Otra propuesta, medio ambiente. No hay ningún tipo de marco normativo que genera un beneficio tributario de nada si sos certificado agroecológico. Y presentar un proyecto de ley en donde aquellos productores que sean certificados agroecológicos por parte del Miesteo de Eneria, tengan una descuenta en la renta que tributa, en la renta de colonización, en movilidad eléctrica. San José cuenta con puntos de carga que tenemos que empezar a seguir actualizando.",,1,0,0,1,0,0,
1003888187920622,Rivera Avanza inaugura nuevo Cabildo en barrio RECREO 💛🤍 ¡GRACIAS CLAUDIO POR LA HERMOSA RECEPCIÓN Y POR LIDERAR EL NUEVO CABILDO! ¡SEGUIMOS SUMANDO! #cabildoabierto #riveraavanza #epuebloslibres #espaciodelospuebloslibres,,0,0,0,0,0,1,
1004023190886264,"Uruguay tiene la oportunidad de seguir creciendo. Vayamos por ese segundo piso de transformaciones. Andá a votar., El domingo, votá. Este 30 de junio yo acompaño a Álvaro Delgado y cuento contigo. Anda a votar.",,1,0,0,0,1,0,
1004056061106825,"#armandointendente #echeverriadiputado Un abrazo grande a dos amigos, dos amigos entrañables, dos amigos del corazón, dos amigos que me dejaron la política. Armando Castañedad con la lista 50, candidato intendente, y Fernando Echeverría con la lista 8, candidato diputado. Y yo le quiero agradecer el apoyo que siempre he tenido de ustedes y de toda la barra de flores. Agradecerles el compromiso en todo este proceso y sobre todo el compromiso en construir Uruguay para adelante este movimiento político que hoy la esperanza del Partido Nacional y del país. Hoy nos compartimos en militantes de la esperanza y ustedes, Armando, Fernando, Fernando y Armando, son las dos caras que simbolizan este compromiso. Un fuerte abrazo, gracias por estar siendo.",,1,0,1,0,0,1,
1004185998078044,"Este 30 de junio, espero tu voto de confianza. Somos garantía de gestión y transparencia. Más Partido Independiente, más equidad, mejor país. #PabloMieres #DeAcáParaArriba, Este 30 de junio, espero tu voto de confianza. Somos garantía de gestión y transparencia. Más Partido Independiente, más equidad, mejor país. #PabloMieres #DeAcáParaArriba La gestión del Partido Independiente ha sido un ejemplo de transparencia. Queremos seguir avanzando, fortaleciendo la Junta de Transparencia y Ética Pública y el Tribunal de Cuentas. A ello nos comprometemos, de acá para arriba. Pablo Mieres. Partido Independiente. Conocé todas las propuestas en pablomieres.uy",,1,0,0,1,0,0,
1006109434469576,"Tenemos que darle un lugar a los jóvenes para que se expresen, para que se entretengan de forma segura. #jhonduhalde #JhonIntendente #lista33 #accionycambio Soy Zandoalde y quiero ser tu próximo intendente. Hoy tenemos una juventud que quiere expresarse y no tiene lugar donde expresarse. Vamos a crear un lugar. En la oficina de la juventud tiene que juntarse con esos jóvenes y ver un lugar donde puedan escuchar música al volumen que quieran, que puedan andar en los autos tuneados, que puedan andar con el cambio escape libre en las motos. Pero tiene que ser un lugar, puede ser las lagunas en la bandera, el parque Valle, el bañar y porá, pero en un lugar donde no moleste a la familia de Taquarenbo. Y tiene que ser días que estén autorizados. Por ejemplo, viernes y sábados de 12 de la noche a 5 de la mañana. Y de esa forma ellos ahí pueden expresarse libremente, que no se sientan perseguidos como delincuentes. Y en el resto de la ciudad no pueden hacer eso. ¿Por qué? Porque ahí sí lo vamos a perseguir y lo vamos a multar como corresponde porque tenemos que proteger al vecino y la familia de Taquarenbo. Pero tenemos que crear un lugar donde se puedan expresar con libertad, no con libertinaje. Por supuesto que va a haber controles y para que no haya problemas entre ellos. También van a haber países de papel donde puedan hacer sus grafites y no anden graficando la ciudad de Taquarenbo, los mudos de nuestras casas. También van a haber un lugar de pasar música y donde los DJs que quieran ser DJs puedan pasar música. Vamos a crear ese lugar charlando con los jóvenes. Tenemos que escuchar los jóvenes de Taquarenbo y no perseguirlos como delincuentes.",,1,0,0,1,0,0,
1008129140949753,"En ciudad de BELLA UNIÓN - Artigas. Una jornada para recorrida de medios: radio, televisión y portales; para reuniones con sindicatos y productores; para un puerta a puerta por Barrio Las Láminas y Barrio Las Piedras; para una asamblea abierta en la casa del Frente Amplio. #SomosElInterior #andréslimapresidente",,0,0,0,0,0,1,
1010104890680962,"No podemos aceptar un gobierno que traiciona los principios y valores básicos del partido. 🗳️ Este 30 de junio, votá la 2014 y transformemos juntos nuestro departamento. #HagamosHistoria Donde vemos que la ciudadanía está absolutamente descreída, y vaya si entendemos el descreimiento de la gente hacia la política por los hechos que han pasado en el departamento de Artigas. Claramente hay un fuerte descreimiento porque la gente se ha sentido traicionada en su buena fe y en su voluntad, apoyando un gobierno que no ha dado la respuesta que debería dar, pero que aparte ha tenido malas prácticas, abuso de poder y mal manejo de los dinero públicos. Por eso es que de alguna manera nos muere una rebeldía de enfrentarnos a un estado de situación que es inaceptable. ¿Cómo podemos aceptar a un gobierno que se dice nacionalista cuando traiciona los principios y los valores básicos del partido? El partido no es nada más y nada menos que un gran instrumento para llevarle felicidad a la gente, basado en sus principios, basado en la trayectoria y en los legados que nos ha dejado Sarabia, Oribe, Wilson.",,0,1,1,0,1,0,
1010418557453209,"Este domingo no dejes que elijan por vos! Súmate a la 2️⃣5️⃣, tenemos un gran equipo y muchas ganas!, Este domingo no dejes que elijan por vos! Súmate a la 2️⃣5️⃣, tenemos un gran equipo y muchas ganas!, Este domingo no dejes que elijan por vos! Súmate a la 2️⃣5️⃣, tenemos un gran equipo y muchas ganas! Soy Eber Dorado. Soy Sonia Pérez. Soy Emanuel Machado. Soy Nataly. Soy Eugenia Araujo. Soy Henry Morales. Y este 30 de junio me sumo a la 25. Con la precandidatura de José Domingo Rielli porque es una apuesta al futuro y al progreso de nuestro departamento. Votar es un derecho, pero también es nuestro poder. No dejes que elijan por vos. Votamos la 25, la lista de Domingo Rielli. Voto la lista 25, la lista de Domingo Rielli.",,1,0,1,0,1,0,
1010945970784077,"""💢Es ahora, El momento del cambio llegó\n\n🎯 \""Decime,:\n ¿hasta cuándo vamos a esperar que el futuro cambie? \n¿Hasta cuándo vas a dejar que otros decidan por vos? \nArtigas es más, y juntos, somos más.\""\n\nEste es el momento de dejar de quejarnos y empezar a actuar. ‼️\n\nLa juventud y la experiencia están listas para hacer realidad ese cambio que tanto necesitamos. \n\n📌Artigas es más, y con la Lista 40, podemos construir un futuro mejor para todos. \n\nEste 27 de octubre, votá por el cambio, votá la 40.\n👉 Es ahora o nunca. Sumate a la renovación.\n\n ✅Vota lista 40, ✅ \nla lista del Cambio y la Renovación para Artigas. \n💪 Vota Álvaro Delgado PRESIDENTE\n.\n.\n.\n.\n.\n.\n.\n#Lista40Artigas #CambioYA #DelgadoPresidente #RenovacionYA #ArtigasConFuerza #JuventudConActitud"" Esto te va a sonar familiar, acá no hay trabajo. La plata no alcanza. ¿Para qué haces esto si no te va a ir bien? Dejar de soñar que eso nunca va a pasar. Decime una cosa, ¿hasta cuándo vamos a esperar que la cosa cambie? ¿Hasta cuándo vas a dejar de quejarte y vas a actuar? ¿Hasta cuándo vas a confiar en lo mismo de siempre? ¡Artigas es más! Tenemos que ser la voz para gritar de que estamos hechos. La juventud es actitud, es fijarse metas. Es prepararse más. Es soñar. Es no descansar hasta conseguir eso que te quita el sueño. Es impulsar para que suceda. Cambia de chip. Si estás listo para el cambio, yo también. Esto difícil te ocurre poder ser listo, falta poco. ¡Vamos a la 40! ¡Vamos Artigas! ¡Vamos todos!",,1,0,1,0,1,0,
1012364160253977,"Hemos solicitado al MSP información detallada sobre la base legal y los criterios interpretativos que justificaron la reciente suspensión de la técnica de Recepción de Ovocitos de la Pareja (ROPA). Además, hemos pedido todos los antecedentes administrativos relacionados con esta decisión, incluyendo documentos, informes y comunicados previos. También pedimos saber el impacto de esta medida en las parejas actualmente en tratamiento y si la Comisión de Reproducción Humana Asistida fue consultada o ha emitido algún dictamen al respecto. El Estado debe estar del lado del amor y el derecho a formar una familia.",,1,0,0,1,0,0,
1013378416876507,"El 30 de junio comenzamos a construir una nueva historia. Juntos, somos la fuerza de la renovación. #MatíasDiputado No se puede que nadie te haga bajar la voz El nuevo rumbo viene con fuerza Y es posible porque estás vos Benizumate a la Benizuxadema Nueva fuerza Que llega a cada rincón de 33 Y que avanza sin miedo abriendo camino a la esperanza Con la fuerza de todos Ibera Ortiz La fuerza del liderazgo",,1,0,0,1,0,0,
1015462823665857,"""¡Mario Bergara te invita a votar la 9095! 🔴🔵⚪️\n\n¡Vamos por la victoria del FA y por una nueva Diputación Frenteamplista!\n\n¡Tabaré Amaral Diputado junto al equipo de la 9095! ✨️\n\n¡El Momento Llegó! 💪🏻\n\n#PorUrguay \n#PorTacuarembó \n#VamosQueVamos"" El pueblo uruguayo necesita que el Frente Amplio gane y vuelva a gobernar. Por eso los cedinistas en Tacuarembó apoyamos la 90-95 con Tabaré Amaral encabezando la Diputación.",,1,0,0,0,0,0,
1015799933673645,"""Esta es una realidad, no la inventé. El que no la quiera ver es porque no quiere legislar y mejorar la vida de los riverenses."" El riverense es el metedor, el guerrero. Pues yo siempre digo, con tal que no lo jodan alcanza porque sale adelante. Buscan la forma de salir adelante. A la gente, a la gente. Siempre las zonas frontejas son zonas más pobres, con más dificultades. Pero a pesar de eso, en el rivera ha logrado siempre crecer y avanzar. Y bueno, es una ciudad que desde el punto de vista de emprendimientos, hay cientos de emprendimientos. Falta un poco de... Más que de estímulo que el Estado te deje trabajar tranquilamente. Dejame bagallear tranquilo, dejame vender mi bagallo tranquilo. Eso. No me quite. Grandes amigos que se dedican a ese comercio. Grandes amigos de que si hiciste el comercio es porque hiciste el mercado.",,1,1,0,1,0,0,
1016690156719877,"La educación es clave para asegurarles un mejor futuro a nuestros jóvenes. Si queremos vivir mejor y lograr que ellos se formen aquí , formen su familia, debemos defender y potenciar estas instituciones educativas desde la Intendencia. También seguir trabajando y empujando para que la Udelar se instale en nuestro departamento! Por una Intendencia más activa , moderna y de cercanía: El 30 de Junio ¡Llegó el momento! 💪🏻",,1,0,0,1,0,0,
1021246592660063,"La ludopatía, una enfermedad destructiva que afecta a individuos y familias, requiere medidas efectivas para su prevención y tratamiento. Nuestro proyecto de ley aborda esta problemática a través de tres puntos clave: educación, prevención y tratamiento. 🚫💸 Algunos de los aspectos a destacar son: Educación: Se declara una semana al año como la ""Semana de Concientización sobre la Ludopatía"". El objetivo es sensibilizar a la sociedad sobre los riesgos y consecuencias de la ludopatía. 📆🚨 Prevención: Establecer la obligación para salones de juego de presentar leyendas y relojes en sectores visibles. Asimismo, se establece el retiro de cajeros electrónicos de casinos y la acotación del horario de salones de juego de azar, que hoy es 24h. ⏰❌💳 Al trabajar juntos, podemos proteger a las personas y familias afectadas por esta adicción, construyendo un futuro más saludable para nuestra sociedad, previniendo otros males derivados del juego de azar como la depresión y el suicidio. 🤝 #Ludopatía #ApuestaPorLaVida💪 Canal 4 #8AM Está sentado sobre tres patas, entre ellas la prevención y educación. Declaramos, solicitamos declarar la última semana de junio, la semana de concientización relacionado al juego, a los juegos de azar, enfocado a la ludopatía. Tiene la pata de la reducción de oferta, acompañada de la prevención, y la pata de tratamientos. Nosotros, luego de escuchar a una experta que es la responsable de los programas para ayudar a personas ludópatas, la verdad que nos estremecimos. Es muy triste escuchar a las personas que se dedican todo el tiempo a escuchar a personas con la adicción al juego las consecuencias. Pierde el patrimonio, se le destroza la familia, de un día para otro quedan sin sueldo, entran en depresión, intento de suicidio. Es muy triste lo que vive. La ludópata que hoy tiene pocas herramientas para salir adelante. Entonces nosotros lo que buscamos es, primero extenderle la mano, tratar de rehabilitarlos, entonces solicitamos poner obligatoriamente leyendas, mensajes y frases en todos los salones de juego de azar. Principalmente en los casinos. También solicitamos retirar de los casinos los cajeros electrónicos. Nos decía esta experta que las personas cuando entran en el hervor y la adrenalina... Si quedan sin plata, sacan y siguen jugando. Y ahí están todo el tiempo hasta que no se les termina todo. Nos contaba de gente que ha perdido estancia, patrimonio de más de dos millones de dólares en cuestión de pocos años. O sea, la esposa queda destrozada, la familia, los hijos. Entonces también solicitamos acotar, esto es un tema que me va a traer alguna polémica, pero acotar la oferta relacionado al horario. Hoy es 24 horas abierto. Hoy es 24 horas abierto. Sin pandemia, lo único que está abierto es el casino. Y además el casino está preparado para generar adicción.",,1,0,0,1,0,0,
1022206829266095,"En Durazno Yamandú Orsi Presidente con la 609 y 1609, En Durazno Yamandú Orsi Presidente con la 609 y 1609",,0,0,0,0,1,0,
1022278835507025,"Sueño con un Uruguay que pueda pegar el salto definitivo al desarrollo. Un Uruguay que pueda ser el primer país de primer mundo de América Latina. Hoy es el único que tiene las condiciones para hacerlo y para eso básicamente necesita, creo yo, tres pilares a desarrollar importantes: Uno en la seguridad. Que la gente no esté preocupada que la roben o la maten. Otro es la economía. Esto quiere decir llegar a fin de mes sin estar ahorcados. Y el tercero, creo yo, es la justicia social. Poder andar por la calle y no ver personas que duermen en la calle o comen en una olla. Si logramos caminar esos tres caminos, creo que el Uruguay tiene todo para pensarse como un país de primer mundo. El primero de América Latina, tiene que ser el norte, tiene que ser el rumbo y para eso es necesario un segundo gobierno de coalición. Yo sueño con un Uruguay que pueda pegar el santo definitivo al desarrollo. Un Uruguay que pueda ser el primer país del primer mundo de América Latina. Hoy es el único que tiene las condiciones para hacerlo. Y para eso básicamente necesita, creo yo, tres pilares a desarrollar importantes. Uno, en la seguridad, que la gente pueda salir de la calle, no esté preocupada que la roben o la maten. Otro es la mamá mía, esto quiere decir llegar a fin de mes sin estar alcalde. Y el tercero, creo yo, es la justicia social. Poder andar por la calle y no ver personas que duermen en la calle o comen en una olla. Si logramos caminar esos tres caminos, creo que Uruguay tiene todo para pensarse como un país del primer mundo del primero de América Latina. Tiene sin no, teniendose en el rumbo. Y para eso es necesario un segundo gobierno de ecuación.",,1,0,0,1,0,0,
1023930492409450,"¡Momento muy importante para mi en este gran dia! #christianestápreparado Muy buenos días a todos, aquí me encuentro en la escuela 144, van pasando los años y se van cambiando los circuitos, es lo que más me cuesta, pero el piel reflejo lo tengo con mi sobrina cuando miraba recién la foto de la lesión pasada, cuando vino en mi UPA con un año y hoy me viene a acompañar nuevamente para votar. El tiempo ha pasado, vaya si ella un día sabrá las cosas que pueden pasar en cinco años y bueno, traerla a que me acompañe es la mayor compañía de mi familia. Mi vieja en la casa preparando cosas para los delegados, mis hermanos juntando voto y bueno, era mi sobrina que nuevamente me tiene que acompañar porque para ella y para todos los más chiquitos que quizás cuando tengan 16 y 7 años, debemos explicarle todas las cosas que hicimos, pero el río Branco y el cerro largo que quiero construir primero arranca para el futuro de ellas. Y bueno, lo único que les pido de corazón es que nadie se quede en la casa, que hoy necesito de la ayuda de ustedes en todo cerro largo, que en un rato voy a estar en el melo y que verdaderamente el hecho de estar en la posición que estoy, sea cual sea el resultado, me tiene muy feliz.",,1,0,1,0,0,0,
1024355842431897,"Tu voto cuenta y mucho. El próximo domingo, andá a votar., Tu voto cuenta y mucho. El próximo domingo, andá a votar. Este 30 de junio yo acompaño a Álvaro Delgado y cuento contigo. Anda a votar.",,0,0,0,0,1,0,
